review_id,product_category,rating,review_text
1,Home Goods,1,Terrible experience from start to finish. The blender doesn't match the description and shipping took forever.
2,Apparel,3,"Average experience with this winter jacket. It works fine, though I expected slightly better quality for the price."
3,Grocery,5,"This organic coffee beans has been a game changer for me. Great quality, fast shipping, and works exactly as described."
4,Beauty,3,"The nail polish set is okay, does what it's supposed to but nothing particularly stands out about it."
5,Beauty,2,Terrible experience from start to finish. The nail polish set doesn't match the description and shipping took forever.
6,Sports & Outdoors,5,Couldn't be happier with this yoga mat. It's become part of my daily routine and I don't regret the purchase at all.
7,Sports & Outdoors,4,Fantastic value for the price. This water bottle performs way better than I anticipated.
8,Home Goods,5,Fantastic value for the price. This desk lamp performs way better than I anticipated.
9,Sports & Outdoors,3,"The yoga mat works as intended. I don't have complaints, but I also wasn't particularly impressed."
10,Home Goods,5,"Impressed by how well made this desk lamp is. Everything about the experience, from ordering to delivery, was smooth."
